year,month,anomaly,total_uncertainty,uncorrelated_uncertainty,correlated_uncertainty,bias_uncertainty,coverage_uncertainty,lower_bound_95pct_bias_uncertainty_range,upper_bound_95pct_bias_uncertainty_range
1864,5,-0.31813,0.13283,0.03554,0.07700,0.03092,0.09745,-0.37450,-0.25350
1864,6,-0.49385,0.13720,0.03087,0.07284,0.02993,0.10803,-0.54900,-0.42800
1864,7,-0.39214,0.12602,0.02929,0.06824,0.02897,0.09761,-0.44600,-0.32600
1864,8,-0.64729,0.12405,0.03084,0.05940,0.02792,0.10065,-0.69900,-0.58900
1864,9,-0.49019,0.14700,0.03340,0.07383,0.02746,0.11954,-0.54050,-0.43500
1864,10,-0.43771,0.13287,0.03614,0.06187,0.02439,0.10921,-0.48400,-0.38300
1864,11,-0.12446,0.13165,0.03260,0.05658,0.02236,0.11210,-0.16700,-0.07550
1864,12,-0.17451,0.13225,0.03247,0.06700,0.02095,0.10728,-0.21450,-0.12950
1865,1,-0.21350,0.12667,0.03350,0.05795,0.02414,0.10480,-0.25750,-0.16100
1865,2,-0.24625,0.13739,0.03486,0.05653,0.02210,0.11823,-0.28700,-0.19850
1865,3,-0.15792,0.13694,0.04217,0.06366,0.02546,0.11079,-0.20500,-0.10450
1865,4,-0.03294,0.13630,0.04145,0.07075,0.02950,0.10481,-0.08650,0.03100
1865,5,-0.40219,0.13997,0.03586,0.06034,0.03080,0.11711,-0.45800,-0.33600
1865,6,-0.43022,0.14243,0.03355,0.06120,0.02763,0.12104,-0.48000,-0.36800
1865,7,-0.24592,0.14230,0.03831,0.07264,0.02997,0.11229,-0.30100,-0.17750
1865,8,-0.14729,0.13836,0.03400,0.06565,0.02842,0.11345,-0.20000,-0.08100
1865,9,-0.42717,0.14089,0.03403,0.06815,0.02711,0.11538,-0.47650,-0.37000
1865,10,-0.32945,0.14117,0.03418,0.06109,0.02539,0.11994,-0.37650,-0.27500
1865,11,-0.39366,0.13479,0.03401,0.05813,0.02221,0.11462,-0.43550,-0.34300
1865,12,-0.27979,0.13655,0.03276,0.08218,0.02103,0.10187,-0.31950,-0.23300
1866,1,-0.14655,0.12635,0.03547,0.05933,0.02420,0.10296,-0.19050,-0.09500
1866,2,-0.20496,0.13990,0.03408,0.06246,0.02269,0.11829,-0.24650,-0.15650
1866,3,-0.50928,0.14130,0.04590,0.06756,0.02705,0.11209,-0.55800,-0.45050
1866,4,-0.24027,0.13363,0.03417,0.06097,0.02785,0.11044,-0.29050,-0.18100
1866,5,-0.33260,0.13601,0.03619,0.06456,0.02962,0.11021,-0.38550,-0.26900
1866,6,-0.22394,0.13904,0.03463,0.06928,0.02954,0.11162,-0.27650,-0.15650
1866,7,-0.06287,0.13898,0.03450,0.07633,0.02795,0.10732,-0.11250,0.00100
1866,8,-0.33140,0.14056,0.03435,0.06573,0.02832,0.11599,-0.38250,-0.27000
1866,9,-0.37813,0.14334,0.03319,0.07182,0.02670,0.11651,-0.42550,-0.32100
1866,10,-0.11527,0.15460,0.03735,0.08775,0.02499,0.11909,-0.16050,-0.06050
1866,11,-0.18833,0.12758,0.03744,0.06250,0.02228,0.10233,-0.22950,-0.13700
1866,12,-0.42854,0.14234,0.04076,0.08784,0.02100,0.10219,-0.46750,-0.38150
1867,1,-0.27617,0.16113,0.04285,0.09434,0.02670,0.12048,-0.32400,-0.21850
1867,2,-0.39658,0.14373,0.03752,0.07173,0.02362,0.11638,-0.43950,-0.34600
1867,3,-0.24580,0.12641,0.03309,0.06994,0.02342,0.09719,-0.28800,-0.19600
1867,4,-0.10011,0.13300,0.03717,0.06011,0.02791,0.10915,-0.15000,-0.04050
1867,5,-0.30990,0.14937,0.03890,0.06186,0.02690,0.12746,-0.35800,-0.25050
1867,6,-0.36088,0.14154,0.04163,0.06086,0.02963,0.11713,-0.41400,-0.29250
1867,7,-0.28986,0.12886,0.03750,0.05939,0.02770,0.10443,-0.33850,-0.22400
1867,8,-0.37905,0.13731,0.03592,0.06106,0.02738,0.11439,-0.42750,-0.31750
1867,9,-0.08946,0.12997,0.03421,0.06189,0.02573,0.10597,-0.13400,-0.03500
1867,10,-0.12268,0.14145,0.03024,0.06847,0.02383,0.11764,-0.16500,-0.07050
1867,11,-0.31971,0.15449,0.03847,0.11243,0.02089,0.09650,-0.35800,-0.27150
1867,12,-0.46284,0.13749,0.03444,0.05918,0.02077,0.11740,-0.50150,-0.41450
1868,1,-0.51509,0.17232,0.03575,0.13681,0.02154,0.09610,-0.55400,-0.46800
1868,2,-0.19850,0.13622,0.03863,0.08708,0.02356,0.09448,-0.24100,-0.14650
1868,3,-0.02525,0.14738,0.03684,0.11162,0.02430,0.08553,-0.06950,0.02800
